id,code,name,source,name@ro
unece_j79,J79,calorie (thermochemical) per gram degree Celsius,rec20,calorii (termochimic) pe gram grad Celsius
unece_j81,J81,calorie (thermochemical) per minute,rec20,calorii (termochimic) pe minut
unece_j82,J82,calorie (thermochemical) per second,rec20,calorii (termochimic) pe secundă
unece_j83,J83,clo,rec20,clo
unece_j84,J84,centimetre per second kelvin,rec20,centimetru pe secundă kelvin
unece_j85,J85,centimetre per second bar,rec20,bar centimetru pe secundă
unece_j87,J87,cubic centimetre per cubic metre,rec20,centimetru cub pe metru cub
unece_j90,J90,cubic decimetre per day,rec20,decimetru cub pe zi
unece_j91,J91,cubic decimetre per cubic metre,rec20,decimetru cub pe metru cub
unece_j92,J92,cubic decimetre per minute,rec20,decimetru cub pe minut
unece_j93,J93,cubic decimetre per second,rec20,decimetru cub pe secundă
unece_j95,J95,ounce (UK fluid) per day,rec20,uncie (lichid Marea Britanie) pe zi
unece_j96,J96,ounce (UK fluid) per hour,rec20,uncie (lichid Marea Britanie) pe oră
unece_j97,J97,ounce (UK fluid) per minute,rec20,uncie (lichid Marea Britanie) pe minut
unece_j98,J98,ounce (UK fluid) per second,rec20,uncie (lichid Marea Britanie) pe secundă
unece_j99,J99,ounce (US fluid) per day,rec20,uncie (lichid american) pe zi
unece_je,JE,joule per kelvin,rec20,joule pe kelvin
unece_jk,JK,megajoule per kilogram,rec20,megajoule pe kilogram
unece_jm,JM,megajoule per cubic metre,rec20,megajoule pe metru cub
unece_jnt,JNT,pipeline joint,rec20,conductă de date comună
unece_jou,JOU,joule,rec20,joule
unece_jps,JPS,hundred metre,rec20,sută de metri
unece_jwl,JWL,number of jewels,rec20,număr rubine
unece_k1,K1,kilowatt demand,rec20,cerere de kilowați
unece_k10,K10,ounce (US fluid) per hour,rec20,uncie (lichid american) pe oră
unece_k11,K11,ounce (US fluid) per minute,rec20,uncie (lichid SUA) pe minut
unece_k12,K12,ounce (US fluid) per second,rec20,uncie (lichid SUA) pe secundă
unece_k13,K13,foot per degree Fahrenheit,rec20,picior pe grad Fahrenheit
unece_k14,K14,foot per hour,rec20,picior pe oră
unece_k15,K15,foot pound-force per hour,rec20,picior livră-forță pe oră
unece_k16,K16,foot pound-force per minute,rec20,picior livră-forță pe minut
unece_k17,K17,foot per psi,rec20,picior per psi
unece_k18,K18,foot per second degree Fahrenheit,rec20,picior pe gradul secund Fahrenheit
unece_k19,K19,foot per second psi,rec20,picior pe secundă psi
unece_k2,K2,kilovolt ampere reactive demand,rec20,cerere reactivă kilovolt amperi
unece_k20,K20,reciprocal cubic foot,rec20,picior cub reciproc
unece_k21,K21,cubic foot per degree Fahrenheit,rec20,picior cub pe grad Fahrenheit
unece_k22,K22,cubic foot per day,rec20,picior cub pe zi
unece_k23,K23,cubic foot per psi,rec20,picior cub per psi
unece_k26,K26,gallon (UK) per day,rec20,galon (Marea Britanie) pe zi
unece_k27,K27,gallon (UK) per hour,rec20,gallon (UK) pe oră
unece_k28,K28,gallon (UK) per second,rec20,galon (Marea Britanie) pe secundă
unece_k3,K3,kilovolt ampere reactive hour,rec20,kilovolt amperi reactiv oră
unece_k30,K30,gallon (US liquid) per second,rec20,galon (lichid SUA) pe secundă
unece_k31,K31,gram-force per square centimetre,rec20,gram-forță pe centimetru pătrat
unece_k32,K32,gill (UK) per day,rec20,gil (Marea Britanie) pe zi
unece_k33,K33,gill (UK) per hour,rec20,gil (Marea Britanie) pe oră
unece_k34,K34,gill (UK) per minute,rec20,gil (Marea Britanie) pe minut
unece_k35,K35,gill (UK) per second,rec20,gil (Marea Britanie) pe secundă
unece_k36,K36,gill (US) per day,rec20,gil (Marea Britanie) pe zi
unece_k37,K37,gill (US) per hour,rec20,gil (Marea Britanie) pe oră
unece_k38,K38,gill (US) per minute,rec20,gil (Marea Britanie) pe minut
unece_k39,K39,gill (US) per second,rec20,gil (Marea Britanie) pe secundă
unece_k40,K40,standard acceleration of free fall,rec20,accelerația standard a căderii libere
unece_k41,K41,grain per gallon (US),rec20,cereale per galon (SUA)
unece_k42,K42,horsepower (boiler),rec20,cai putere (cazan)
